panel,scope,method,budget,tau_b,top_k_overlap,full_top_k_set_size,subset_top_k_set_size,pairwise_direction_agreement,calibrated_score_mae,repository_coverage,baseline_percentile
standardized-bash,all_systems,random,100,0.7430546098784782,0.7439285714285715,6.0,5.454,0.8409056603773586,0.021193541534953286,10.28,
standardized-bash,all_systems,repo_stratified_random,100,0.7487163401182131,0.7559801587301588,6.0,5.464,0.8450188679245283,0.020547595638570414,10.0,
standardized-bash,all_systems,entropy,100,0.9811320754716981,1.0,6,6,0.9811320754716981,0.013051509818710021,9,1.0
standardized-bash,all_systems,temporal_coreset,100,0.8705196492275474,0.8333333333333334,6,5,0.9433962264150944,0.02355803040730776,10,0.888
standardized-bash,all_systems,random,125,0.7777289385539446,0.7641269841269841,6.0,5.35,0.8659245283018868,0.018412721055910772,10.518,
standardized-bash,all_systems,repo_stratified_random,125,0.7715484647348132,0.7755277777777778,6.0,5.306,0.8634716981132076,0.018217004458952555,10.0,
standardized-bash,all_systems,entropy,125,0.9617163101410254,0.8571428571428571,6,7,0.9433962264150944,0.009173308392839212,9,0.99
standardized-bash,all_systems,temporal_coreset,125,0.8972354465472708,0.8333333333333334,6,5,0.9433962264150944,0.020399650959860405,10,0.948
standardized-bash,all_systems,random,150,0.8001915525066249,0.7768333333333334,6.0,5.274,0.8818867924528303,0.016150852949441626,10.732,
standardized-bash,all_systems,repo_stratified_random,150,0.7971844783485227,0.777952380952381,6.0,5.296,0.8780754716981133,0.015847107515788515,11.0,
standardized-bash,all_systems,entropy,150,0.8972354465472708,0.5714285714285714,6,5,0.9433962264150944,0.010208490402304841,11,0.908
standardized-bash,all_systems,temporal_coreset,150,0.8705196492275474,0.8333333333333334,6,5,0.9433962264150944,0.023804566535246964,10,0.802
standardized-bash,all_systems,random,200,0.8373269547779205,0.798876984126984,6.0,5.198,0.9063396226415095,0.012904005844233514,11.014,
standardized-bash,all_systems,repo_stratified_random,200,0.8388382275902526,0.8003571428571429,6.0,5.21,0.9069056603773584,0.012868463937817104,11.0,
standardized-bash,all_systems,entropy,200,0.8598506362744679,0.5714285714285714,6,5,0.9245283018867925,0.011445791735553561,12,0.59
standardized-bash,all_systems,temporal_coreset,200,0.8867924528301887,1.0,6,6,0.9433962264150944,0.022153136386207216,10,0.734
standardized-bash,all_systems,random,250,0.8675191877757921,0.8146428571428572,6.0,5.182,0.9265283018867925,0.010458522940705466,11.228,
standardized-bash,all_systems,repo_stratified_random,250,0.8681267854002569,0.8180833333333334,6.0,5.178,0.9260754716981132,0.010365760188319357,11.0,
standardized-bash,all_systems,entropy,250,0.8972354465472708,0.5714285714285714,6,5,0.9433962264150944,0.008190362207713327,12,0.69
